2025-09-23 11:23:36 | BangsaBacolBot | INFO     | [FAKE_LOG] Tunggu 736 detik...
2025-09-23 11:35:52 | BangsaBacolBot | INFO     | [FAKE_LOG] Kirim log palsu: xp - Stranger 🔰 - /about
2025-09-23 11:35:52 | BangsaBacolBot | INFO     | [FAKE_LOG] Tunggu 435 detik...
2025-09-23 11:40:08 | BangsaBacolBot | INFO     | Periodic message loop tick!
2025-09-23 11:40:08 | BangsaBacolBot | INFO     | Periodic message: ✨ Kadang koleksi terbaik itu nggak diumumin... tapi nongkrong manis di /listvip.
2025-09-23 11:43:07 | BangsaBacolBot | INFO     | [FAKE_LOG] Skip kali ini (natural)
2025-09-23 11:43:07 | BangsaBacolBot | INFO     | [FAKE_LOG] Tunggu 160 detik...
2025-09-23 11:44:06 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:44:06 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:44:06 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:45:47 | BangsaBacolBot | INFO     | [FAKE_LOG] Skip kali ini (natural)
2025-09-23 11:45:47 | BangsaBacolBot | INFO     | [FAKE_LOG] Tunggu 679 detik...
2025-09-23 11:48:24 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:48:24 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:48:24 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:48:35 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:48:35 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:48:50 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:48:50 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:48:50 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:48:53 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:48:53 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:48:57 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:48:57 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:48:57 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:48:59 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:48:59 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:49:07 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:49:07 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:49:07 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:49:10 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:49:10 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:49:10 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:49:17 | BangsaBacolBot | INFO     | [VIP_COLLECTIONS] Loaded 77 file-based koleksi from vip_collections.json
2025-09-23 11:49:17 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
2025-09-23 11:49:20 | BangsaBacolBot | INFO     | [VIP] Loaded 188 koleksi dari vip_links.json
